threshold,precision,recall,f1_score,total_records,predicted_matches,predicted_non_matches,execution_time_seconds
0.1,0.2045,0.9904,0.339,12606,5536,7070,0.0357
0.2,0.4065,0.9396,0.5675,12606,2642,9964,0.0294
0.3,0.6292,0.8285,0.7153,12606,1505,11101,0.0223
0.4,0.7644,0.6754,0.7171,12606,1010,11596,0.0178
0.5,0.8523,0.5302,0.6537,12606,711,11895,0.0223
0.6,0.9197,0.3806,0.5384,12606,473,12133,0.0188
0.7,0.959,0.266,0.4164,12606,317,12289,0.0184
0.8,0.9844,0.1654,0.2831,12606,192,12414,0.0213
0.9,0.99,0.0866,0.1593,12606,100,12506,0.0175
1.0,1.0,0.0647,0.1216,12606,74,12532,0.0206
